Carto routes match in priority from top to bottom:

Helper	HTTP Verb	Path	Controller#Action

GET	/[(user/:user_domain)(u/:user_domain)](.:format)	admin/pages#public
root_path	GET	/	admin/pages#index
signup_path	GET	/signup(.:format)	signup#signup
signup_organization_user_path	POST	/signup(.:format)	signup#create
signup_subdomainless_path	GET	(/user/:user_domain)(/u/:user_domain)/signup(.:format)	signup#signup
signup_subdomainless_organization_user_path	POST	(/user/:user_domain)(/u/:user_domain)/signup(.:format)	signup#create
signup_http_authentication_path	GET	(/user/:user_domain)(/u/:user_domain)/signup_http_authentication(.:format)	signup#create_http_authentication
signup_http_authentication_in_progress_path	GET	(/user/:user_domain)(/u/:user_domain)/signup_http_authentication_in_progress(.:format)	signup#create_http_authentication_in_progress
enable_account_token_show_path	GET	(/user/:user_domain)(/u/:user_domain)/enable_account_token/:id(.:format)	account_tokens#enable
resend_validation_mail_path	GET	(/user/:user_domain)(/u/:user_domain)/resend_validation_mail/:user_id(.:format)	account_tokens#resend
account_token_authentication_error_path	GET	(/user/:user_domain)(/u/:user_domain)/account_token_authentication_error(.:format)	sessions#account_token_authentication_error
login_path	GET	(/user/:user_domain)/login(.:format)	sessions#new
logout_path	GET|POST	(/user/:user_domain)(/u/:user_domain)/logout(.:format)	sessions#destroy
create_session_path	GET|POST	(/user/:user_domain)(/u/:user_domain)/sessions/create(.:format)	sessions#create
GET	(/user/:user_domain)(/u/:user_domain)/status(.:format)	home#app_status
GET	(/user/:user_domain)(/u/:user_domain)/diagnosis(.:format)	home#app_diagnosis
edit_password_change_path	GET	/password_change/:id/edit(.:format)	password_change#edit
password_change_path	PATCH	/password_change/:id(.:format)	password_change#update
PUT	/password_change/:id(.:format)	password_change#update
explore_index_path	GET	(/user/:user_domain)(/u/:user_domain)/explore(.:format)	explore#index
explore_search_path	GET	(/user/:user_domain)(/u/:user_domain)/search(.:format)	explore#search
explore_search_query_path	GET	(/user/:user_domain)(/u/:user_domain)/search/:q(.:format)	explore#search
data_library_index_path	GET	(/user/:user_domain)(/u/:user_domain)/data-library(.:format)	data_library#index
authorize_path	GET|POST	(/user/:user_domain)(/u/:user_domain)/oauth/authorize(.:format)	oauth#authorize
request_token_path	GET|POST	(/user/:user_domain)(/u/:user_domain)/oauth/request_token(.:format)	oauth#request_token
access_token_path	GET|POST	(/user/:user_domain)(/u/:user_domain)/oauth/access_token(.:format)	oauth#access_token
oauth_show_sessions_path	GET	(/user/:user_domain)(/u/:user_domain)/oauth/identity(.:format)	sessions#show
POST	(/user/:user_domain)(/u/:user_domain)/saml/finalize(.:format)	sessions#create
google_plus_path	GET	/google_plus(.:format)	google_plus#google_plus
google_plus_signup_path	POST	/google/signup(.:format)	google_plus#google_signup
builder_visualization_public_embed_path	GET	(/user/:user_domain)(/u/:user_domain)/builder/:visualization_id/embed(.:format)	carto/builder/public/embeds#show {:visualization_id=>/[0-z\.\-]+/}
builder_visualization_public_embed_protected_path	POST	(/user/:user_domain)(/u/:user_domain)/builder/:visualization_id/embed_protected(.:format)	carto/builder/public/embeds#show_protected {:visualization_id=>/[0-z\.\-]+/}
GET	(/user/:user_domain)(/u/:user_domain)/builder/:visualization_id/embed_protected(.:format)	carto/builder/public/embeds#show {:visualization_id=>/[0-z\.\-]+/}
builder_visualization_path	GET	(/user/:user_domain)(/u/:user_domain)/builder/:id(.:format)	carto/builder/visualizations#show {:id=>/[0-z\.\-]+/}
builder_path	GET	(/user/:user_domain)(/u/:user_domain)/builder/:id/*other(.:format)	carto/builder/visualizations#show
builder_dataset_path	GET	(/user/:user_domain)(/u/:user_domain)/dataset/:id(.:format)	carto/builder/datasets#show {:id=>/[0-z\.\-]+/}
editor_path	GET	(/user/:user_domain)(/u/:user_domain)/editor(/*path)(.:format)	redirect(301)
github_path	GET	(/user/:user_domain)(/u/:user_domain)/github(.:format)	carto/oauth_login#github
google_oauth_path	GET	(/user/:user_domain)(/u/:user_domain)/google/oauth(.:format)	carto/oauth_login#google
saml_metadata_path	GET	(/user/:user_domain)(/u/:user_domain)/saml/metadata(.:format)	carto/saml#metadata
organization_path	GET	(/user/:user_domain)(/u/:user_domain)/organization(.:format)	admin/organizations#show
organization_destroy_path	DELETE	(/user/:user_domain)(/u/:user_domain)/organization(.:format)	admin/organizations#destroy
organization_settings_path	GET	(/user/:user_domain)(/u/:user_domain)/organization/settings(.:format)	admin/organizations#settings
organization_settings_update_path	PUT|PATCH	(/user/:user_domain)(/u/:user_domain)/organization/settings(.:format)	admin/organizations#settings_update
regenerate_organization_users_api_key_path	POST	(/user/:user_domain)(/u/:user_domain)/organization/regenerate_api_keys(.:format)	admin/organizations#regenerate_all_api_keys
organization_groups_path	GET	(/user/:user_domain)(/u/:user_domain)/organization/groups(/*other)(.:format)	admin/organizations#groups
organization_auth_path	GET	(/user/:user_domain)(/u/:user_domain)/organization/auth(.:format)	admin/organizations#auth
organization_auth_update_path	PUT|PATCH	(/user/:user_domain)(/u/:user_domain)/organization/auth(.:format)	admin/organizations#auth_update
organization_notifications_admin_path	GET	(/user/:user_domain)(/u/:user_domain)/organization/notifications(.:format)	admin/organizations#notifications
new_organization_notification_admin_path	POST	(/user/:user_domain)(/u/:user_domain)/organization/notifications(.:format)	admin/organizations#new_notification
destroy_organization_notification_admin_path	DELETE	(/user/:user_domain)(/u/:user_domain)/organization/notifications/:id(.:format)	admin/organizations#destroy_notification
edit_organization_user_path	GET	(/user/:user_domain)(/u/:user_domain)/organization/users/:id/edit(.:format)	admin/organization_users#edit {:id=>/[0-z\.\-]+/}
update_organization_user_path	PUT|PATCH	(/user/:user_domain)(/u/:user_domain)/organization/users/:id(.:format)	admin/organization_users#update {:id=>/[0-z\.\-]+/}
organization_users_path	GET	(/user/:user_domain)(/u/:user_domain)/organization/users(.:format)	admin/organizations#show
create_organization_user_path	POST	(/user/:user_domain)(/u/:user_domain)/organization/users(.:format)	admin/organization_users#create
delete_organization_user_path	DELETE	(/user/:user_domain)(/u/:user_domain)/organization/users/:id(.:format)	admin/organization_users#destroy {:id=>/[0-z\.\-]+/}
regenerate_organization_user_api_key_path	POST	(/user/:user_domain)(/u/:user_domain)/organization/users/:id/regenerate_api_key(.:format)	admin/organization_users#regenerate_api_key {:id=>/[^\/]+/}
new_organization_user_path	GET	(/user/:user_domain)(/u/:user_domain)/organization/users/new(.:format)	admin/organization_users#new
profile_user_path	GET	(/user/:user_domain)(/u/:user_domain)/profile(.:format)	admin/users#profile
account_user_path	GET	(/user/:user_domain)(/u/:user_domain)/account(.:format)	admin/users#account
lockout_path	GET	(/user/:user_domain)(/u/:user_domain)/lockout(.:format)	admin/users#lockout
search_path	GET	(/user/:user_domain)(/u/:user_domain)/dashboard/search/:q(.:format)	admin/visualizations#index
search_page_path	GET	(/user/:user_domain)(/u/:user_domain)/dashboard/search/:q/:page(.:format)	admin/visualizations#index
search_shared_path	GET	(/user/:user_domain)(/u/:user_domain)/dashboard/shared/search/:q(.:format)	admin/visualizations#index
search_shared_page_path	GET	(/user/:user_domain)(/u/:user_domain)/dashboard/shared/search/:q/:page(.:format)	admin/visualizations#index
tables_index_path	GET	(/user/:user_domain)(/u/:user_domain)/dashboard/tables(.:format)	admin/visualizations#index
tables_page_path	GET	(/user/:user_domain)(/u/:user_domain)/dashboard/tables/:page(.:format)	admin/visualizations#index
tables_tag_path	GET	(/user/:user_domain)(/u/:user_domain)/dashboard/tables/tag/:tag(.:format)	admin/visualizations#index
tables_tag_page_path	GET	(/user/:user_domain)(/u/:user_domain)/dashboard/tables/tag/:tag/:page(.:format)	admin/visualizations#index
tables_shared_path	GET	(/user/:user_domain)(/u/:user_domain)/dashboard/tables/shared(.:format)	admin/visualizations#index
tables_shared_page_path	GET	(/user/:user_domain)(/u/:user_domain)/dashboard/tables/shared/:page(.:format)	admin/visualizations#index
tables_shared_tag_path	GET	(/user/:user_domain)(/u/:user_domain)/dashboard/tables/shared/tag/:tag(.:format)	admin/visualizations#index
tables_shared_tag_page_path	GET	(/user/:user_domain)(/u/:user_domain)/dashboard/tables/shared/tag/:tag/:page(.:format)	admin/visualizations#index
